机构名称,聚类结果,领域数量,投资次数,投资总额,所投公司存活时间,所投公司创业人数,所投公司管理层毕业于世界500强大学占比,所投公司在一线城市占比,所投公司在二线城市占比,金融占比,旅游占比,硬件占比,汽车交通占比,企业服务占比,本地生活占比,电子商务占比,教育占比,广告营销占比,游戏占比,文化娱乐体育占比,医疗健康占比,房产服务占比,SNS社交网络占比,移动互联网占比,工具软件占比,未知领域占比
聚秀资本,9,0.125,0.004866180048661801,2.2504638888246593E-4,0.048797736916548796,0.0,0.0,0.0,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
网易,14,0.375,0.021897810218978103,0.003926528751598582,0.1107967939651108,0.2,0.2222222222222222,1.0,0.0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
Passion Capital,11,0.375,0.019464720194647202,0.0025689279714255237,0.12676803394625177,0.0,0.0,0.0,0.0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
泽厚资本,6,0.5625,0.0413625304136253,0.0013784091319051037,0.06939013229053997,0.2,0.11764705882352941,0.9411764705882353,0.0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0
纪源资本GGV,6,0.9375,0.2141119221411192,0.13061755187964863,0.15261347563327762,0.24318181818181817,0.3068181818181818,0.5795454545454546,0.11363636363636363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
新文化,12,0.0625,0.004866180048661801,0.02813079861030824,0.36704384724186706,0.2,0.0,0.5,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NewSpring Capital,2,0.125,0.004866180048661801,0.0018450062492147035,0.4115983026874116,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Runa Capital,2,0.125,0.004866180048661801,6.546796368181206E-4,0.22065063649222066,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Mitsubishi UFJ Capital,2,0.125,0.0072992700729927005,3.8884002671621707E-4,0.1456859971711457,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Learn Capital,13,0.0625,0.012165450121654502,0.005052936469623495,0.13663366336633664,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AngelList,11,0.125,0.004866180048661801,1.0117776205370955E-4,0.11032531824611033,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Naspers,9,0.125,0.019464720194647202,0.05458639456681997,0.42644978783592646,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Balderton Capital,14,0.5625,0.0413625304136253,0.03320487328089946,0.1984358099675514,0.0,0.0,0.0,0.0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0
Emergence Capital Partners,0,0.3125,0.024330900243309004,0.0058573988718348515,0.14893917963224895,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0
同渡创投,12,0.1875,0.019464720194647202,0.0017253556480989055,0.10714285714285715,0.2,0.25,0.875,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
融银资本,8,0.125,0.009732360097323601,7.501546296082198E-4,0.15912305516265912,0.3,0.0,0.75,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
太火鸟,4,0.125,0.004866180048661801,4.37590200542282E-5,0.05091937765205092,0.2,0.5,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Maker LLC,2,0.0625,0.009732360097323601,0.002785364273008004,0.3086987270155587,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
天津安正路投资,2,0.125,0.004866180048661801,3.9383118054431537E-4,0.033946251768033946,0.3,0.0,1.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
