机构名称,聚类结果,领域数量,投资次数,投资总额,所投公司存活时间,所投公司创业人数,所投公司管理层毕业于世界500强大学占比,所投公司在一线城市占比,所投公司在二线城市占比,金融占比,旅游占比,硬件占比,汽车交通占比,企业服务占比,本地生活占比,电子商务占比,教育占比,广告营销占比,游戏占比,文化娱乐体育占比,医疗健康占比,房产服务占比,SNS社交网络占比,移动互联网占比,工具软件占比,未知领域占比
创业基金会,1,1.0,0.10948905109489052,0.001409169535062869,0.043658651579443666,0.21333333333333332,0.26666666666666666,0.9111111111111111,0.044444444444444446,0.019962678663112885,0.05323380976830103,0.08872301628050175,0.019962678663112885,0.17300988174697834,0.10811187883582045,0.09515543496083809,0.013308452442075257,0.0019962678663112887,0.07652360154193273,0.055230077634612317,0.19962678663112884,0.021958946529424175,0.019962678663112885,0.03992535732622577,0.013308452442075257,0.0
众诚资本,1,0.75,0.051094890510948905,0.0014321905303815781,0.034350373812891494,0.24761904761904763,0.0,0.9047619047619048,0.09523809523809523,0.0785671962313935,0.03928359811569675,0.05237813082092899,0.09820899528924186,0.05237813082092899,0.009820899528924187,0.0,0.0,0.0,0.03928359811569675,0.2749851868098772,0.03928359811569675,0.24706436944914575,0.03928359811569675,0.029462698586772557,0.0,0.0
德沃创业/德沃基金,1,0.375,0.0364963503649635,0.004260843601523069,0.04554455445544554,0.32,0.2,0.7333333333333333,0.06666666666666667,0.03521155431943438,0.698410176315256,0.0,0.04850677701380931,0.0,0.0,0.07922599721872735,0.1320433286978789,0.0,0.0,0.0,0.0,0.006602166434893946,0.0,0.0,0.0,0.0
Anthemis Group,8,0.125,0.009732360097323601,0.0014839405101210734,0.1463932107496464,0.0,0.0,0.0,0.0,0.5133689839572193,0.0,0.0,0.0,0.48663101604278075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盖茨基金会（Bill & Melinda Gates Foundation）,14,0.1875,0.009732360097323601,0.008006930346054347,0.18352192362093353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5128840436075323,0.0,0.0,0.08572844400396432,0.0,0.0,0.0,0.40138751238850345,0.0,0.0,0.0,0.0,0.0
The Walt Disney Company迪士尼,4,0.1875,0.009732360097323601,0.09453177180116196,0.20155586987270158,0.0,0.0,0.0,0.0,0.0,0.0,0.02833158447009444,0.0,0.0,0.0,0.0,0.0,0.0,0.3147953830010493,0.6568730325288562,0.0,0.0,0.0,0.0,0.0,0.0
iNovia Capital,14,0.375,0.031630170316301706,0.011354723943419737,0.32151017299532153,0.0,0.0,0.0,0.0,0.0,0.179260941731458,0.05870533764305058,0.0,0.6417401939372761,0.0,0.07128505285227571,0.02149034681575959,0.027518127020179958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oregon Angel Fund,12,0.125,0.004866180048661801,3.5352700388178516E-4,0.0785007072135785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4208754208754209,0.5791245791245792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carmel Ventures,14,0.3125,0.019464720194647202,0.009292483087442658,0.3325671852899576,0.0,0.0,0.0,0.0,0.29035012809564475,0.0,0.0,0.0,0.531596925704526,0.017933390264730998,0.0,0.0,0.0,0.0,0.03202391118701964,0.0,0.0,0.0,0.12809564474807855,0.0,0.0
Talis Capital,8,0.125,0.004866180048661801,3.4404466804118514E-4,0.08486562942008487,0.0,0.0,0.0,0.0,0.6540197471345212,0.0,0.0,0.0,0.0,0.0,0.34598025284731065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,12,0.1875,0.014598540145985401,8.764712923013738E-4,0.2842998585572843,0.0,0.0,0.0,0.0,0.0,0.6790448374362101,0.0,0.0,0.1925730975382739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12838206502551594,0.0
正和磁系资本,13,0.375,0.019464720194647202,0.0035833279182097984,0.0663012729844413,0.375,0.125,1.0,0.0,0.16485981308448192,0.015700934579474468,0.015700934579474468,0.0,0.0,0.13084112149562058,0.5233644859824823,0.14953271028070939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
国金投资,1,0.3125,0.012165450121654502,6.001237036865758E-4,0.18585572842998585,0.08,0.0,0.8,0.0,0.09375,0.3125,0.0,0.0,0.46875,0.0,0.0,0.0,0.0,0.09375,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
赛富基金/赛富亚洲基金SAIF,1,1.0,0.1678832116788321,0.12977764942216136,0.1742205276428264,0.21159420289855074,0.2028985507246377,0.6231884057971014,0.10144927536231885,0.29299852057890347,0.0027516138973772736,0.01592620399082783,0.033019366768527285,0.045496865400736636,0.0724723089368576,0.31072341623511734,0.03332510164601365,0.03531237834967501,0.03363083652350001,0.031016577166488,0.00925445904881007,0.054972596279822324,0.0144244810580052,0.013758069486886368,9.172046324590912E-4,0.0
Columbia Capital,12,0.125,0.004866180048661801,0.0029520099987435256,0.314002828854314,0.0,0.0,0.0,0.0,0.0,0.07258064516129033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9274193548387096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Oaks Venture Capital,0,0.625,0.06082725060827251,0.0051695034543062235,0.12118811881188118,0.0,0.0,0.0,0.0,0.023025937073415333,0.0,0.0,0.0,0.016885687187171244,0.09786023256201516,0.2844799701760766,0.24292363612453174,0.0,6.9077811220246E-4,0.0,0.20921805014182768,0.029933718195439933,0.02590417920759225,0.0,0.06907781122024599,0.0
复星昆仲资本,1,0.8125,0.09002433090024331,0.028725381578131204,0.12156427998012156,0.21621621621621623,0.1891891891891892,0.8378378378378378,0.08108108108108109,0.17591793346857287,0.058445115742311024,0.0,0.05989111914601573,0.009793011289961203,0.0248628887834051,0.12287389195627221,0.11489376291630862,0.051884026681633784,0.04439498451449079,0.05160348955154736,0.12535039761633404,0.0,0.0,0.1174080859216352,0.04268129241151209,0.0
